City,County,Name,Phone,Street1
North Little Rock,Pulaski,ARcare,501-916-9693,3901 McCain Park Drive
Hazen,Prairie,ARcare Hazen 40,870-255-3696,705 Highway 63
Cabot,Lonoke,ARCare Cabot East 93,501-941-3522,105 N Jackson
Rose Bud,White,ARcare Rose Bud 131,501-556-4344,138 School Road
Pea Ridge,Benton,ARcare Pea Ridge 135,479-451-0579,145 N Curtis Avenue
Bald Knob,White,ARcare Bald Knob 16,501-724-6207,178 Highway 167 North
Batesville,Independence,ARcare Batesville Harrison 48,870-307-0001,4100 Harrison Street
Batesville,Independence,ARcare Batesville Midtown 28,870-569-4920,2000 Harrison Street
Lonoke,Lonoke,ARcare Lonoke 47,507-676-0181,1310 N Center Street
Kensett,White,ARcare Kensett 80,501-742-5697,606 Wilbur D Mills North
Batesville,Independence,ARcare Batesville Vine 35,870-793-4600,1175 Vine Street
Texarkana,Miller,ARcare Texarkana 51,870-216-1223,401 East Street
Horseshoe Bend,Fulton,ARcare Horseshoe Bend 23,870-670-4861,805 3rd Street
Melbourne,Izard,ARcare Melbourne 100,870-368-5030,54 Tate Springs Road
Des Arc,Prairie,ARcare Des Arc 30,870-256-4178,405 Hwy 11 North
Piggott,Clay,Piggott Pharmacy LLC d/b/a Piggott Pharmacy,870-598-3183,648 East Main Street
Corning,Clay,Cate Pharmacy Inc.,870-857-1006,500 N. Missouri ave.
Conway,Faulkner,Lawrence Family Medicine,501-327-6900,3650 College Ave
Little Rock,Pulaski,"Healthcare Pharmacy, Inc",501-888-7514,3401 Atwood Road
Mena,Polk,"Medi Shop Pharmacy, L.L.C.",479-394-3254,204 Hwy 71 South
Rison,Cleveland,Rison Pharmacy,870-325-6262,300 Pine St.
FORDYCE,Dallas,WATSON PHARMACY,870-352-2161,802 WEST 4TH ST
Malvern,Hot Spring,Malvern Family Medical Clinic,501-337-1836,850 Henry Street
Little Rock,Pulaski,360 Wellness dba The Shot Clinic,501-225-7468,10720 N Rodney Parham
Fort Smith,Sebastian,Keystone Family Clinic,479-434-6140,9207 HWY 71 S
Bee Branch,Van Buren,BMRHC Southside,501-654-2006,326 Southside Road
Marshall,Searcy,BMRHC- SCSD,870-448-3455,950 Hwy 65 North
Mountain Home,Baxter,BOSTON MOUNTAIN RURAL HEALTH CLINIC- MOUNTAIN HOME,870-701-0238,444 Hospital Drive
Jasper,Newton,BMRHC- Jasper,870-446-2225,609 W Clark Street
Center Ridge,Conway,BMRHC-Center Ridge,501-893-6197,1094 Catholic Point Road
Green Forest,Carroll,BMRHC- Green Forest,870-438-6500,1103 West Main Street
Yellville,Marion,BMRHC- Yellville,870-449-7000,358 E Valley Street
Mountain View,Stone,BMRHC Mountain View,870-269-2995,322 Dogwood Hollow Road
Huntsville,Madison,"Boston Mountain Rural Health Center, Inc.",479-738-5500,934 North Gaskill Street
Harrison,Boone,"Boston Mountain Rural Health Center, Inc.",870-741-6373,1002 North Spring Street
Clinton,Van Buren,"Boston Mountain Rural Health Center, Inc.",501-745-7888,465 Medical Center Parkway
Marshall,Searcy,"Boston Mountain Rural Health Center, Inc.",870-448-5733,2263 Hwy 65 North
Eureka Springs,Carroll,ECHO Clinic,479-253-5547,4004 E. Van Buren
CROSSETT,Ashley,ASHLEY WOMEN SERVICES,870-364-3800,1003 FRED LAGRONE DRIVE
CROSSETT,Ashley,FAMILY CLINIC OF ASHLEY COUNTY,870-364-9111,909 UNITY ROAD
CROSSETT,Ashley,ASHLEY HEALTH SERVICES,870-364-3474,1003 FRED LAGRONE DRIVE
HAMBURG,Ashley,HAMBURG HEALTH CLINIC,870-853-8271,319 WEST PARKER
CROSSETT,Ashley,ASHLEY FAMILY CLINIC,870-364-0590,124 RAY LOCHALA ROAD
CROSSETT,Ashley,ASHLEY COUNTY MEDICAL CENTER,870-364-1248,1015 UNITY ROAD
Fayetteville,Washington,"Advanced Health & Wellness, LLC",479-595-8676,3729 N Crossover Road
Benton,Saline,Finley Pharmacy,501-315-5100,1016 W. South St
Benton,Saline,Saline Internal Medicine Associates,501-778-5740,5 Medical Park Drive
Benton,Saline,Central Arkansas Family Practice,501-574-7973,5 Medical Park Drive Suite 308
Bryant,Saline,Bryant Medical Clinic,501-653-0353,3412B Market Place Ave.
Magnolia,Columbia,Wilson Bearden Pharmacy,870-234-1062,134 N Washington
Mena,Polk,Freedom Pharmacy,479-437-3089,710 4th Street
De Queen,Sevier,De Queen Health and Wellness Pharmacy,870-642-2400,1357 W Collin Raye Drive
Batesville,Independence,Sav-On Pharmacy,870-793-4770,1610 Harrison St
Rector,Clay,"Rector Downtown Drug, Inc. d/b/a Rector Downtown Drug",870-595-3523,403 South Main Street
England,Lonoke,Polk Pharmacy-England,501-842-2575,104 Stuttgart Highway
Rogers,Benton,Apex Family Medical Clinic,479-657-6600,5206 W. Village Pkwy
Clarendon,Monroe,Polk Pharmacy Clarendon,870-747-3304,333 Madison St
Brinkley,Monroe,Brinkley Family Pharmacy,870-319-1001,1415 Pinecrest St.
IMBODEN,Lawrence,JMRX LLC dba IMBODEN MEDICAL PHARMACY,870-869-2046,110 N WALNUT STREET
POCAHONTAS,Randolph,JMRX LLC dba RANDOLPH COUNTY DRUG,870-202-2536,567 HWY 67 S
Little Rock,Pulaski,Physical Therapy Institute,501-944-4101,1909 Hinson Loop Rd
Hope,Hempstead,Christus Trinity Clinic - Hope,870-722-1020,805 Trinity Drive
Paragould,Greene,1st Choice Healthcare Paragould,870-236-2000,#1 Medical Drive
Ash Flat,Sharp,1st Choice Healthcare Ash Flat,870-994-2202,308 US 62W
Corning,Clay,1st Choice Healthcare Corning,870-857-3399,1300 Creason Road
Pocahontas,Randolph,1st Choice Healthcare Pocahontas,870-892-9949,141 Betty Drive
Salem,Fulton,1st Choice Healthcare Salem,870-895-2735,172 Hwy 62 E
Walnut Ridge,Lawrence,1st Choice Healthcare Walnut Ridge,870-886-5507,201 Colonial Drive
Rogers,Benton,Hull Dermatology,479-254-9662,500 S 52nd Street
Fort Smith,Sebastian,Encompass Health Fort Smith,479-785-3300,1401 South J Street
Mountain View,Stone,Dr.Andy's Family Practice,870-269-7777,1809 Ozarka College Dr
Lake Village,Chicot,Chicot Memorial Medical Center,870-265-9200,2729 South Highway 65 & 82
Rogers,Benton,Debbie's Family Pharmacy,479-271-6300,5403 Pinnacle Point Drive
Jonesboro,Craighead,NYIT at ASU Medical Clinic,870-972-2054,333 Red Wolf Blvd
Hot Springs,Garland,"Arkansas Renal Group, PA",501-321-9803,115 Wrights Street
LAKE VILLAGE,Chicot,FRESENIUS KIDNEY CARE,870-265-3837,505 ST MARY STREET
MOUNTAIN HOME,Baxter,MOUNTAIN HOME CHRISTIAN CLINIC,870-425-5010,421 WEST WADE AVENUE
Bay,Craighead,Access Medical Clinic Bay,870-770-1920,201 SOUTH BAY DRIVE
Ash Flat,Sharp,Access Medical Clinic Ash Flat,870-994-7301,49 Hwy 62/412
Hardy,Sharp,Access Medical Clinic Hardy,870-856-2100,4196 HWY 62/412
Black Rock,Lawrence,Access Medical Clinic Black Rock,870-878-4005,3519 HIGHWAY 63
Bono,Craighead,Access Medical Clinic Bono,870-520-6069,10144 HIGHWAY 63 N
Marked Tree,Poinsett,Access Medical Clinic Marked Tree,870-358-4355,202 NEWSOME DRIVE
Dardanelle,Yell,Access Medical Clinic Dardanelle,479-229-3004,176 STATE HWY 22 WEST
Benton,Saline,West Side Pharmacy,501-778-3151,620 W. South St.
Little Rock,Pulaski,Little Rock Pediatric Clinic,501-664-4044,500 S University Ave
Conway,Faulkner,Fresenius Kidney Care Conway Dialysis,501-329-7715,201 Skyline Dr
gravette,Benton,Austin Drug,479-787-5432,118 Main St. N.E.
Little Rock,Pulaski,Smile Dailey-Dr DJ Dailey Dental Center,501-448-0032,17200 Chenal Parkway
Crossett,Ashley,Barry V Thompson MDPA,870-364-5746,103 East 3rd Ave
Springdale,Washington,"Rouse Family Medical Clinic, P.A.",479-443-0500,1306 South Pleasant Street
Dierks,Howard,Access Medical Clinic Dierks,870-455-1172,704 MAIN AVENUE
Marmaduke,Greene,ACCESS MEDICAL CLINIC MARMADUKE,870-565-9205,11885 N Hwy 49
Cave City,Independence,ACCESS MEDICAL CLINIC CAVE CITY,870-376-2844,444 Taylor Circle
Weiner,Poinsett,Access Medical Clinic Weiner,870-605-0014,106 NORTH VAN BUREN
Malvern,Hot Spring,Access Medical Clinic Malvern,501-337-9820,1308 EAST PAGE AVE.
Sheridan,Grant,Access Medical Clinic Sheridan,870-917-2289,810 S. ROCK ST.
Cadarville,Crawford,Access Medical Clinic Cedarville,479-262-2244,9217 N HWY 59
Lamar,Johnson,Access Medical Clinic Lamar,479-703-5000,291 W MAIN ST
Hope,Hempstead,Access Medical Clinic Hope,870-777-0007,405 W 16TH STREET
Perryville,Perry,Access Medical Clinic Perryville,501-238-1284,1016 N FOURCHE AVE
El Dorado,Union,Access Medical Clinic El Dorado,870-444-5216,2280 E. MAIN ST.
Greenbrier,Faulkner,Access Medical Clinic Greenbrier,501-679-8970,20 WILSON FARM RD.
Caraway,Craighead,Access Medical Clinic Caraway,870-956-0200,104 W STATE ST
Viola,Fulton,Access Medical Clinic Viola,870-458-6732,9798 HWY 62 W
Rison,Cleveland,Access Medical Clinic Rison,888-264-5034,217 MAIN STREET
West Fork,Washington,Access Medical Clinic West Fork,479-294-6085,451 PHILLIPS ST
Flippin,Marion,Access Medical Clinic Flippin,870-453-2266,806 E MAIN ST.
Concord,Cleburne,Access Medical Clinic Concord,844-291-4901,11005 Heber Springs Rd
Marshall,Searcy,Access Medical Clinic Marshall,888-518-1418,942 HWY 65 N
Heber Springs,Cleburne,Access Medical Clinic Heber Springs,501-365-2628,1713 W Main St
Booneville,Logan,Access Medical Clinic Booneville,479-675-4100,871 W Main St
Garfield,Benton,Access Medical Clinic Garfield,877-350-8893,16273 Highway 62
Salem,Fulton,Access Medical Clinic Salem,870-895-2015,106 HWY 62W
Lonoke,Lonoke,Access Medical Clinic Lonoke,501-438-8075,1010 N Center St
FORT SMITH,Sebastian,Walgreen Co.,479-783-4782,2701 ROGERS AVE
ROGERS,Benton,Walgreen Co.,479-246-0196,1722 W WALNUT ST
BENTON,Saline,Walgreen Co.,501-860-7372,702 MILITARY RD
JACKSONVILLE,Pulaski,Walgreen Co.,501-241-0225,819 W MAIN ST
HARRISON,Boone,Walgreen Co.,870-365-0459,705 HIGHWAY 62 65 N
WEST MEMPHIS,Crittenden,Walgreen Co.,870-733-0138,346 W BROADWAY ST
FORT SMITH,Sebastian,Walgreen Co.,479-452-3330,8300 ROGERS AVE
CONWAY,Faulkner,Walgreen Co.,501-327-5638,850 OAK ST
HOT SPRINGS,Garland,Walgreen Co.,501-624-5598,159 E GRAND AVE
WALDRON,Scott,Walgreen Co.,479-637-4197,1125 W 2ND ST
OSCEOLA,Mississippi,Walgreen Co.,870-563-6516,850 W KEISER AVE
MENA,Polk,Walgreen Co.,479-394-5144,803 HIGHWAY 71 N
SPRINGDALE,Washington,Walgreen Co.,479-756-1290,3251 W SUNSET AVE
EL DORADO,Union,Walgreen Co.,870-881-8434,701 W GROVE ST
DANVILLE,Yell,Walgreen Co.,479-495-5444,300 E 8TH ST
FAYETTEVILLE,Washington,Walgreen Co.,479-442-2561,4015 W WEDINGTON DR
GREENWOOD,Sebastian,Walgreen Co.,479-996-5522,705 W CENTER ST
HOT SPRINGS,Garland,Walgreen Co.,501-760-2089,1800 AIRPORT RD
SPRINGDALE,Washington,Walgreen Co.,479-756-4368,3234 E ROBINSON AVE
SHERWOOD,Pulaski,Walgreen Co.,501-833-2603,8521 HIGHWAY 107
HOPE,Hempstead,Walgreen Co.,870-777-4830,1004 W COMMERCE
MAUMELLE,Pulaski,Walgreen Co.,501-803-3274,115 COMMONS DR
BENTONVILLE,Benton,Walgreen Co.,479-268-7979,1311 S WALTON BLVD
LITTLE ROCK,Pulaski,Walgreen Co.,501-225-0703,111 N BOWMAN RD
LITTLE ROCK,Pulaski,Walgreen Co.,501-217-3872,15500 CHENAL PKWY
WEST MEMPHIS,Crittenden,Walgreen Co.,870-735-8987,1800 N MISSOURI ST
HOT SPRINGS,Garland,Walgreen Co.,501-623-4377,3631 CENTRAL AVE
MALVERN,Hot Spring,Walgreen Co.,501-467-8197,308 S MAIN ST
NEWPORT,Jackson,Walgreen Co.,870-217-0170,2401 MALCOLM AVE
CONWAY,Faulkner,Walgreen Co.,501-328-3117,505 SALEM RD
BLYTHEVILLE,Mississippi,Walgreen Co.,870-763-4507,900 N 6TH ST
FAYETTEVILLE,Washington,Walgreen Co.,479-442-2134,2750 E MISSION BLVD
ROGERS,Benton,Walgreen Co.,479-936-8079,2503 W PLEASANT GROVE RD
Calico Rock,Izard,Mitchell's Park Street Pharmacy,870-297-8107,526 Park Street
BEEBE,White,BEEBE DRUG,501-882-5402,703 W DEWITT HENRY
Little Rock,Pulaski,Pain Treatment Centers of America-LR,501-317-7515,108 N Shackleford Rd
Eudora,Chicot,Eudora Drug Store,870-355-4448,140 S Main St
Ashdown,Little River,Little River Memorial Hospital,870-898-5011,451 West Locke St.
Springdale,Washington,Northwest Medical Center Springdale,479-757-4000,609 W Maple Avenue
Holiday Island,Carroll,Prestige Assisted Living,479-619-7761,89 Hillside Drive
Searcy,White,Joe's Pharmacy Express,501-268-9400,2412 E. Race ST
Little Rock,Pulaski,Arkansas Heart Hospital,501-219-7474,1701 South Shackleford Road
Texarkana,Miller,Albertsons/Savon 611,970-773-5521,3710 State Line Ave
Little Rock,Pulaski,Shepherd's Hope Medical Clinic,501-614-9523,2404 South Tyler St
Benton,Saline,Salem Pharmacy,501-316-1600,1208 Salem Rd
hot springs,Garland,P. Ross Bandy MD,501-622-3574,300 prospect ave
Siloam Springs,Benton,Sager Creek Pediatrics & Family Care,479-549-4228,1101-2 N Progress Ave
Siloam Springs,Benton,Broadhurst Street Medical Clinic,479-373-1591,100 Broadhurst Cir
Siloam Springs,Benton,Siloam Springs Medical Center,479-524-3141,451 S Holly Street
Gentry,Benton,Gentry Medical Center,479-736-2213,643 E 3rd St.
LITTLE ROCK,Pulaski,jccsi- LR Comm Center,501-663-0055,1100 NORTH UNIVERSITY
NORTH LITTLE ROCK,Pulaski,JCCSI-NORTH LITTLE ROCK COMMUNITY HEALTH CENTER,501-812-0225,"2525 WILLOW STREET, STE 1"
REDFIELD,Jefferson,JCCSI-REDFIELD CENTER,501-397-2261,823 RIVER ROAD
COLLEGE STATION,Pulaski,JCCSI-COLLEGE STATION,501-490-2440,4206 FRAZIER PIKE
LITLE ROCK,Jefferson,JCCSI-OPEN CENTER,501-244-2121,3000 SPRINGER BLVD. STE. B
ALTHEIMER,Jefferson,JCCSI-ALTHEIMER CENTER,870-766-8411,309 SOUTH EDLINE STREET
Pine Bluff,Jefferson,JCCSI-PINE BLUFF,870-543-2380,1101 South Tennessee
Batesville,Independence,"E.J. Jones, MD",870-793-4300,255 Virginia Dr
Clinton,Van Buren,Ozark Health,501-745-9502,2500 Highway 65 South
Nashvile,Howard,Power Pharmacy,870-845-1413,1310 South 4th Street
Stuttgart,Arkansas,Baptist Health Medical Center - Stuttgart,870-674-6365,1703 North Buerkle Rd
Fayetteville,Washington,HER HEALTH BY WASHINGTON REG/FAYETTEVILLE,479-463-1000,3215 N Northhills Blvd
Springdale,Washington,Shiloh Clinic,479-419-9902,513 N Shiloh St
Springdale,Washington,East Springdale Family Clinic,479-463-4887,1607 S old Missouri Rd
Harrison,Boone,Harrison Family Practice Clinic,870-741-8247,715 W Sherman
Eureka Springs,Carroll,Eureka Springs Family Clinic,479-253-9746,146 Passion Ply Rd
Farmington,Washington,Farmington Family Clinic,479-463-1001,199 E Main St
301,Washington,Fayetteville Family Clinic,479-404-1200,3 East Appleby Road
Fayetteville,Washington,Clinic for Senior Health,479-463-4444,12 East Applyby Road
Lincoln,Washington,West Washington County Clinic,479-824-3196,106 E. Park St
Fayetteville,Washington,Washington Regional Internal Medicine Associates,479-463-3070,688 Milsap Road
Hot Springs,Garland,"Central Arkansas Rehabilitation Associates, L.P.",501-651-2000,1636 Higdon Ferry Rd
West Memphis,Crittenden,"Alliance Senior Health, PLLC",870-733-3867,304 S. Rhodes St.
North Little Rock,Pulaski,Sams Club 10-8266,501-955-9451,5600 Landers Rd
Fort Smith,Sebastian,Sams Club 10-8134,479-484-8008,7700 Rogers Ave
Little Rock,Pulaski,Sams Club 10-8104,501-219-0283,900 S Bowman Rd
Greenbrier,Faulkner,Walmart 10-7317,501-287-6003,75 S Broadview
Cabot,Lonoke,Walmart 10-6975,501-725-3639,1203 S Pine St
Pea Ridge,Benton,Walmart 10-6971,479-451-9008,240 Slack Street
Siloam Springs,Benton,Walmart 10-6960,479-549-9065,935 S Holly St
Jonesboro,Craighead,Walmart 10-6943,870-203-7010,2811 Creek Dr
Jonesboro,Craighead,Walmart 10-6876,870-203-7087,3319 Harrisburg Rd
Jonesboro,Craighead,Sams Club 10-6377,870-203-7055,2405 South Caraway Road
Rogers,Benton,Walmart 10-5837,479-254-6806,5000 Pauline Whitaker Pkwy
Rogers,Benton,Walmart 10-5822,479-636-4101,2708 Rife Medical Ln
Hot Springs,Garland,Walmart 10-5790,501-262-7519,1544 Malvern Ave
Hot Springs,Garland,Walmart 10-5789,501-262-7508,1640 Airport Road
Springdale,Washington,Walmart 10-5738,479-750-2903,3553 E Robinson Ave
Fayetteville,Washington,Walmart 10-5737,479-442-2276,3475 W Black Forest Dr
Little Rock,Pulaski,Walmart 10-5706,501-859-8710,700 Bowman Rd
Rogers,Benton,Walmart 10-5260,479-621-0629,4208 Pleasant Crossing Blvd
Little Rock,Pulaski,Walmart 10-5244,501-868-9854,19301 Cantrell Rd
Bentonville,Benton,Sams Club 10-4969,479-621-0283,3500 SE Club Blvd
Springdale,Washington,Sams Club 10-4808,479-365-8134,1517 Gene George Blvd
Conway,Faulkner,Sams Club 10-4749,501-205-7460,1250 S Amity Rd
Bentonville,Benton,Walmart 10-4686,479-268-7015,906 SW Airport Blvd
Marion,Crittenden,Walmart 10-4654,870-394-7305,2100 Highway 77
Fort Smith,Sebastian,Walmart 10-4579,479-289-6898,8600 US Hwy 71 S
Fayetteville,Washington,Walmart 10-4516,479-435-2008,660 W Martin Luther King Blvd
Bentonville,Benton,Walmart 10-4376,479-268-9830,1400 N Walton Blvd
Beebe,White,Walmart 10-4168,501-882-1516,2003 W Center St
Russelville,Pope,Walmart 10-4128,479-498-9540,2109 W Main St
Springdale,Washington,Walmart 10-4108,479-306-7027,4870 Elm Springs Rd
Rogers,Benton,Walmart 10-3479,479-633-0802,1819 S 8th St
Pine Bluff,Jefferson,Walmart 10-3331,870-879-1420,5501 S Olive St
Greenwood,Sebastian,Walmart 10-3231,479-996-8533,551 Liberty Dr
Conway,Faulkner,Walmart 10-3168,501-205-7265,2550 Prince St
Bentonville,Benton,Walmart 10-3164,479-268-9243,205 N Main St
Fayetteville,Washington,Walmart 10-2997,479-443-1658,616 N Garland Ave Ste 363
Fayetteville,Washington,Walmart 10-2745,479-571-6673,2690 E Citizens Dr
Fort Smith,Sebastian,Walmart 10-2744,479-484-9125,4900 Rogers Ave Ste 101J
Sherwood,Pulaski,Walmart 10-2743,501-833-3116,8801 Highway 107
Springdale,Washington,Walmart 10-2742,479-750-7856,1375 Market Square Dr
Bentonville,Benton,Walmart 10-2686,479-418-0229,1703 E Central Ave
Cabot,Lonoke,Walmart 10-2587,501-941-5300,304 S Rockwood Dr
Conway,Faulkner,Walmart 10-2575,501-328-5000,3900 Dave Ward Dr
Bentonville,Benton,Walmart 10-2203,479-273-4941,702 SW 8th St
Flippin,Marion,Walmart 10-1147,870-453-8831,168 Walmart Dr
Mountain View,Stone,Walmart 10-1114,870-269-4295,409 Sylamore Ave
Hope,Hempstead,Walmart 10-1065,870-777-1600,2400 N Hervey St
Clinton,Van Buren,Walmart 10-0788,501-745-2888,1966 Highway 65 S
West Helena,Phillips,Walmart 10-0714,870-572-6741,602 Shelia Dr
Texarkana,Miller,Walmart 10-0468,870-772-7872,133 Arkansas Blvd
Huntsville,Madison,Walmart 10-0373,479-738-1270,157 Gary Hatfield Way
Fort Smith,Sebastian,Walmart 10-0388,479-782-0606,2100 N 62nd St
Fayetteville,Washington,Walmart 10-0359,479-443-9267,3919 N Mall Ave
Alma,Crawford,Walmart 10-0358,479-632-4330,367 Cherry St
Monticello,Drew,Walmart 10-0348,870-367-3559,427 Highway 425 N
Fordyce,Dallas,Walmart 10-0339,870-352-8034,1123 Highway 79 167 Byp
Sheridan,Grant,Walmart 10-0336,870-942-5045,1308 S Rock St
North Little Rock,Pulaski,Walmart 10-1105,501-945-9400,4450 E Mccain Blvd
Arkedelphia,Clark,Walmart 10-0318,870-246-5410,109 Malone Dr
Dardanelle,Yell,Walmart 10-0296,479-229-2157,1172 Old Highway 7 S
McGehee,Desha,Walmart 10-0289,870-222-6233,1001 Highway 65 S
Heber Springs,Cleburne,Walmart 10-0281,501-362-5837,1500 Highway 25B
Searcy,White,Walmart 10-2431,501-203-2013,1330 W Beebe Capps Expy
De Queen,Sevier,Walmart 10-0279,870-642-6921,926 E Collin Raye Dr
Hot Springs,Garland,Walmart 10-0261,501-623-7689,4109 Central Ave
Paris,Logan,Walmart 10-0230,479-963-2189,1501 E Walnut St
Trumann,Poinsett,Walmart 10-0229,870-483-6157,512 Industrial Park Dr
Bentonville,Benton,Walmart 10-2741,479-621-6470,3510 SE 14th St
El Dorado,Union,Walmart 10-0530,870-862-4866,2730 N West Ave
Ozark,Franklin,Walmart 10-0209,479-667-4448,1516 N 18th St
Camden,Ouachita,Walmart 10-0171,870-836-0500,950 California Ave SW
Lonoke,Lonoke,Walmart 10-0169,501-676-3184,322 Brownsville Loop
Crossett,Ashley,Walmart 10-0167,870-364-7205,910 Unity Rd
Ash Flat,Sharp,Walmart 10-0160,870-994-2152,219 Highway 62 412
Bryant,Saline,Walmart 10-3230,501-847-4615,400 Bryant Ave
Searcy,White,Walmart 10-0157,501-268-4946,3509 E Race Ave
Fayetteville,Washington,Walmart 10-0144,479-521-4350,2875 W Martin Luther King Blvd
Rogers,Benton,Walmart 10-3654,479-202-7197,808 W Walnut St
Fort Smith,Sebastian,Walmart 10-0141,479-452-3695,8301 Rogers Ave
Ashdown,Little River,Walmart 10-0133,870-898-2142,297 Highway 32 Byp
Jonesboro,Craighead,Walmart 10-0128,870-972-1060,1911 W Parker Rd
Malvern,Hot Spring,Walmart 10-0127,501-337-1170,1910 Martin Luther King Blvd
Springdale,Washington,Walmart 10-4375,479-927-1867,4900 Jennifer Ter
Little Rock,Pulaski,Walmart 10-0126,501-221-0096,2700 S Shackleford Rd
Fort Smith,Sebastian,Walmart 10-0125,479-646-4983,2425 Zero St.
Little Rock,Pulaski,Walmart 10-0124,501-565-1164,8801 Baseline Road
Batesville,Independence,Walmart 10-0119,870-793-4464,3150 Harrison St
Stuttgart,Arkansas,Walmart 10-0102,870-673-1834,406 E 22nd St
Bentonville,Benton,Walmart 10-0100,479-273-5080,406 S Walton Blvd
Forrest City,St. Francis,Walmart 10-0091,870-633-0465,205 Deadrick Rd
Benton,Saline,Walmart 10-0085,501-778-5041,17309 Interstate 30 S
Hot Springs,Garland,Sams Club 10-4825,501-625-7212,1368 Higdon Ferry Rd
Magnolia,Columbia,Walmart 10-0083,870-234-5421,60 Highway 79 N
Berryville,Carroll,Walmart 10-0076,870-423-6611,1000 W Trimble Ave
Hot Springs Village,Garland,Walmart 10-5433,501-318-0902,3604 N Highway 7
Osceola,Mississippi,Walmart 10-0074,870-563-6633,2720 W Keiser Ae
Pocahontas,Randolph,Walmart 10-0071,870-892-4441,1415 Highway 67 S
Paragould,Greene,Walmart 10-5780,870-586-7945,2600 Linwood Dr
West Memphis,Crittenden,Walmart 10-0070,870-735-2324,798 W Service Rd
Wynne,Cross,Walmart 10-0068,870-238-7146,800 Highway 64 E
Mena,Polk,Walmart 10-0067,479-394-3897,600 Highway 71 N
Clarksville,Johnson,Walmart 10-0066,479-754-6169,230 Market St
Blytheville,Mississippi,Walmart 10-0062,870-763-1013,3700 E Highway 18
Russelville,Pope,Walmart 10-0058,479-968-2970,2409 E Main St
Walnut Ridge,Lawrence,Walmart 10-0057,870-886-2806,1600 W Main St
Booneville,Logan,Walmart 10-0055,479-675-5341,1400 E Main Street
Bentonville,Benton,Walmart 10-6953,479-795-4105,1800 E Centerton Blvd
Springdale,Washington,Walmart 10-0054,479-756-0860,2004 S Pleasant St
Hot Springs,Garland,Walmart 10-0052,501-624-0142,1601 Albert Pike Rd
Jonesboro,Craighead,Walmart 10-0045,870-972-1838,1815 E Highland Dr
Paragould,Greene,Walmart 10-0036,870-236-7785,2802 W Kingshighway
Nashville,Howard,Walmart 10-0033,870-845-1573,1710 S 4th St
Jacksonville,Pulaski,Walmart 10-0024,501-982-3357,2000 John Harden Dr
Farmington,Washington,Walmart 10-7242,479-267-0043,367 W Main St
Fayetteville,Washington,Sams Club 10-8209,479-587-1853,3081 N Highway 112
Newport,Jackson,Walmart 10-0018,870-523-2383,1211 Highway 367 N
Van Buren,Crawford,Walmart 10-0016,479-474-5051,2214 Fayetteville Rd
Mountain Home,Baxter,Walmart 10-0011,872-492-7733,65 Wal Mart Dr
Morrilton,Conway,Walmart 10-0008,501-354-4135,1621 N Business 9
Sherwood,Pulaski,Walmart 10-0007,501-833-0701,9053 Highway 107
Conway,Faulkner,Walmart 10-0005,501-329-1592,1155 Highway 65 N
Siloam Springs,Benton,Walmart 10-0004,479-524-3156,2901 Highway 412 E
Harrison,Boone,Walmart 10-0002,870-741-2327,161 N Walmart Dr
Rogers,Benton,Walmart 10-0001,479-636-8238,2110 W Walnut St
Clarksville,Johnson,River Valley Primary Care Services,479-668-3282,708 West Main St
Clarksville,Johnson,Clarksville Community Health Center- RVPCS,479-668-3282,708 West Main St
Coal Hill,Johnson,River Valley Primary Care Services,479-279-7676,1273 Highway 64
Bonanza,Sebastian,River Valley Primary Care Services,479-279-7690,920 State Hwy 45
Lavaca,Sebastian,RVPCS Lavaca Wellness Center,479-279-7700,603 South Division Street
Ratcliff,Logan,RVPCS Ratcliff Clinic,479-431-2050,9755 W. State Highway 22
Waldron,Scott,RVPCS- Waldron Family Clinic,479-668-4700,2074 Rice Road
Mountainburg,Crawford,RVPCS Mountainburg Family Clinic,479-369-2091,4 Highway 71 N.E.
Fort Smith,Sebastian,RVPCS Eastside Family Clinic,479-434-4747,4003 Massard Road
Lamar,Johnson,RVPCS Lamar Wellness Center,479-668-4881,635 Childers Street
Mulberry,Crawford,RVPCS Mulberry Family Clinic,479-997-1484,421 North Main St.
Fort Smith,Sebastian,RVPCS Northside Kelley Clinic,479-785-5700,4900 Kelley Highway
Gould,Lincoln,Wellpath- Varner,870-575-1800,320 HWy 388 East
TUcker,Jefferson,WEllpath- Maxiumum Security Unit,870-850-8899,2501 State Farm Rd
Pine Bluff,Jefferson,Wellpath-Randal L Williams,870-267-6800,7206 W 7th
West Memphis,Crittenden,Wellpath-East Central community Corrections,870-400-3101,200 W Tyler
Newport,Jackson,Wellpath-Grimes,870-523-5877,300 Corrections Dr
Dermott,Chicot,Wellpath-Delta,870-538-2000,880 East Gaines
Gould,Lincoln,Wellpath-Cummins,870-850-8899,2540 Hwy 388
Luxora,Mississippi,Wellpath-Mississippi County Work Release,870-658-2214,727 North Cty Rd 599
Newport,Jackson,Wellpath-McPherson,870-523-2639,302 Corrections Dr
Brickets,Lee,Wellpath- East Arkansas Regional Unit,870-294-4700,326 Lee Rd
Wrightsville,Pulaski,Wellpath- Hawkins,501-897-5806,8400 Hwy 386
Pine Bluff,Jefferson,Wellpath-Ester,870-267-6240,7500 Correction Drive
Benton,Saline,Wellpath- Benton Work Release,501-860-0942,6701 Hwy 67
